Base,HostnameLookups,KeepAlive,EnableSendfile,FollowSymLinks,AccessLog,ExtendedStatus,InMemory,Handle,Performance,[DomFlist],DomEst,RelErr
Y,Y,Y,N,Y,Y,Y,N,Y,1500,[3Y 9Y ],1245.0000,0.1700
Y,Y,Y,N,Y,Y,Y,N,N,1680,[3Y 9N 6Y ],2050.0000,0.2202
Y,Y,Y,Y,N,Y,N,N,N,1890,[3Y 9N 6Y ],2050.0000,0.0847
Y,N,N,Y,N,Y,Y,N,Y,1050,[3N 2N 7Y ],1060.0000,0.0095
Y,Y,Y,Y,Y,N,Y,N,Y,1200,[3Y 9Y ],1245.0000,0.0375
Y,N,Y,Y,N,Y,Y,Y,N,1980,[3Y 9N 6Y ],2050.0000,0.0354
Y,N,Y,Y,N,Y,Y,N,N,1830,[3Y 9N 6Y ],2050.0000,0.1202
Y,N,N,N,N,Y,Y,N,Y,1080,[3N 2N 7Y ],1060.0000,0.0185
Y,N,N,N,N,Y,N,Y,N,1260,[3N 2N 7N ],1305.0000,0.0357
Y,Y,Y,Y,Y,Y,Y,N,N,1800,[3Y 9N 6Y ],2050.0000,0.1389
Y,Y,N,Y,Y,Y,Y,N,Y,870,[3N 2Y ],960.0000,0.1034
Y,Y,N,Y,N,N,N,Y,N,1110,[3N 2Y ],960.0000,0.1351
Y,Y,N,N,N,N,Y,N,N,900,[3N 2Y ],960.0000,0.0667
Y,Y,Y,Y,N,N,Y,Y,N,2160,[3Y 9N 6N 8Y ],2295.0000,0.0625
Y,Y,Y,N,N,Y,N,Y,N,1980,[3Y 9N 6Y ],2050.0000,0.0354
Y,N,Y,N,N,N,Y,N,Y,1350,[3Y 9Y ],1245.0000,0.0778
Y,Y,N,Y,Y,Y,N,N,Y,930,[3N 2Y ],960.0000,0.0323
Y,N,N,Y,N,N,N,Y,N,1410,[3N 2N 7N ],1305.0000,0.0745
Y,Y,N,N,Y,Y,Y,Y,N,960,[3N 2Y ],960.0000,0.0000
Y,N,Y,N,N,N,N,Y,N,2490,[3Y 9N 6N 8Y ],2295.0000,0.0783
Y,Y,N,N,Y,Y,N,N,N,900,[3N 2Y ],960.0000,0.0667
Y,N,Y,Y,N,N,N,N,N,2220,[3Y 9N 6N 8N ],2180.0000,0.0180
Y,Y,N,N,Y,Y,N,N,Y,930,[3N 2Y ],960.0000,0.0323
Y,Y,Y,Y,N,Y,Y,Y,N,1860,[3Y 9N 6Y ],2050.0000,0.1022
Y,N,N,N,N,Y,N,N,N,1080,[3N 2N 7N ],1305.0000,0.2083
Y,Y,N,Y,N,N,Y,N,N,960,[3N 2Y ],960.0000,0.0000
Y,Y,Y,N,Y,N,Y,Y,N,2190,[3Y 9N 6N 8Y ],2295.0000,0.0479
Y,N,N,Y,N,N,Y,Y,N,1320,[3N 2N 7Y ],1060.0000,0.1970
Y,Y,Y,Y,Y,N,N,N,Y,1050,[3Y 9Y ],1245.0000,0.1857
Y,Y,Y,Y,Y,N,N,Y,N,2340,[3Y 9N 6N 8Y ],2295.0000,0.0192
Y,Y,N,Y,Y,N,Y,N,N,990,[3N 2Y ],960.0000,0.0303
Y,N,Y,Y,Y,N,N,N,Y,1200,[3Y 9Y ],1245.0000,0.0375
Y,N,Y,Y,Y,Y,Y,Y,N,2070,[3Y 9N 6Y ],2050.0000,0.0097
Y,Y,N,Y,Y,Y,N,N,N,960,[3N 2Y ],960.0000,0.0000
Y,N,Y,Y,Y,Y,N,Y,N,2190,[3Y 9N 6Y ],2050.0000,0.0639
Y,N,Y,Y,Y,N,N,Y,N,2640,[3Y 9N 6N 8Y ],2295.0000,0.1307
Y,N,N,N,N,N,N,N,Y,1230,[3N 2N 7N ],1305.0000,0.0610
Y,Y,Y,N,Y,N,Y,N,N,1890,[3Y 9N 6N 8N ],2180.0000,0.1534
Y,Y,N,N,N,N,Y,Y,N,1020,[3N 2Y ],960.0000,0.0588
Y,N,Y,Y,Y,Y,N,N,Y,1200,[3Y 9Y ],1245.0000,0.0375
Y,Y,Y,N,N,Y,Y,Y,N,1860,[3Y 9N 6Y ],2050.0000,0.1022
Y,Y,Y,Y,Y,N,N,N,N,2220,[3Y 9N 6N 8N ],2180.0000,0.0180
Y,Y,Y,N,N,Y,Y,N,Y,1140,[3Y 9Y ],1245.0000,0.0921
Y,N,Y,N,N,N,Y,Y,N,2250,[3Y 9N 6N 8Y ],2295.0000,0.0200
Y,Y,N,Y,N,Y,N,N,Y,930,[3N 2Y ],960.0000,0.0323
Y,Y,Y,Y,N,N,Y,N,Y,1170,[3Y 9Y ],1245.0000,0.0641
Y,N,Y,Y,N,Y,N,N,N,1980,[3Y 9N 6Y ],2050.0000,0.0354
Y,N,N,Y,Y,N,N,N,N,1350,[3N 2N 7N ],1305.0000,0.0333
Y,N,N,Y,N,N,Y,N,Y,1140,[3N 2N 7Y ],1060.0000,0.0702
Y,N,Y,Y,N,Y,Y,N,Y,1230,[3Y 9Y ],1245.0000,0.0122
Y,N,N,Y,N,Y,N,N,N,1170,[3N 2N 7N ],1305.0000,0.1154
Y,N,Y,Y,Y,N,Y,N,Y,1110,[3Y 9Y ],1245.0000,0.1216
Y,Y,Y,Y,Y,Y,N,N,Y,1170,[3Y 9Y ],1245.0000,0.0641
Y,Y,N,N,N,N,Y,N,Y,960,[3N 2Y ],960.0000,0.0000
Y,N,Y,Y,Y,N,N,N,N,2370,[3Y 9N 6N 8N ],2180.0000,0.0802
Y,N,Y,N,Y,Y,Y,N,Y,1230,[3Y 9Y ],1245.0000,0.0122
Y,Y,N,Y,Y,N,N,N,N,1080,[3N 2Y ],960.0000,0.1111
Y,N,Y,Y,N,N,Y,N,Y,1320,[3Y 9Y ],1245.0000,0.0568
Y,N,N,Y,Y,N,Y,N,Y,1230,[3N 2N 7Y ],1060.0000,0.1382
Y,N,Y,N,N,Y,N,N,N,1770,[3Y 9N 6Y ],2050.0000,0.1582
