Base,HostnameLookups,KeepAlive,EnableSendfile,FollowSymLinks,AccessLog,ExtendedStatus,InMemory,Handle,Performance
Y,N,Y,N,Y,N,Y,N,Y,1110
Y,N,N,Y,Y,Y,N,N,Y,1140
Y,N,Y,N,N,Y,N,N,Y,1230
Y,N,Y,Y,N,Y,N,Y,N,2100
Y,Y,N,N,N,N,Y,N,N,900
Y,N,Y,N,N,N,N,Y,N,2490
Y,Y,N,N,Y,Y,N,Y,N,1020
Y,N,N,Y,Y,Y,Y,Y,N,1230
Y,Y,Y,Y,N,N,N,N,N,2130
Y,Y,Y,Y,N,N,Y,N,Y,1170
Y,N,Y,Y,Y,N,Y,N,N,2190
Y,Y,Y,Y,Y,Y,N,N,Y,1170
Y,N,Y,Y,Y,Y,Y,N,N,1890
Y,Y,Y,N,Y,N,Y,N,Y,1170
Y,Y,Y,N,Y,Y,N,Y,N,2070
Y,N,N,N,Y,N,Y,N,N,1140
Y,N,N,Y,N,N,Y,N,Y,1140
Y,N,N,N,N,Y,N,N,Y,1050
Y,N,N,N,N,N,N,N,Y,1230
Y,N,N,N,N,Y,Y,Y,N,1140
Y,N,Y,Y,Y,N,N,N,Y,1200
Y,N,Y,Y,Y,N,Y,Y,N,2430
Y,Y,Y,N,N,N,Y,N,Y,1020
Y,N,N,Y,Y,Y,Y,N,N,1110
Y,Y,Y,N,N,Y,N,Y,N,1980
Y,N,Y,Y,Y,N,N,N,N,2370
Y,Y,N,Y,N,N,Y,N,Y,960
