time_passes,gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,Performance
Y,N,Y,N,Y,Y,N,N,N,Y,Y,233.33
Y,N,N,Y,Y,N,N,N,N,Y,N,208.99
Y,Y,Y,Y,Y,N,N,Y,N,Y,N,247.80
Y,Y,N,Y,N,N,Y,N,Y,N,N,238.25
Y,N,Y,N,N,Y,N,Y,N,Y,N,218.56
Y,N,N,Y,N,Y,Y,Y,N,N,N,218.23
Y,Y,N,Y,Y,N,Y,Y,N,N,Y,249.56
Y,N,Y,Y,Y,N,Y,N,N,Y,N,230.57
Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,260.17
Y,N,N,N,Y,N,Y,N,N,N,Y,219.31
Y,Y,N,N,Y,N,N,Y,N,Y,N,225.69
Y,Y,N,Y,Y,N,N,Y,N,N,N,239.56
Y,N,Y,N,Y,Y,Y,Y,Y,N,N,231.16
Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,266.21
Y,N,Y,N,N,N,Y,Y,N,N,N,220.42
Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,231.21
Y,Y,N,N,N,Y,Y,N,Y,Y,Y,237.51
Y,N,Y,Y,Y,Y,Y,N,N,Y,N,231.77
Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,264.93
Y,N,N,N,Y,Y,N,Y,N,N,N,202.94
Y,Y,N,Y,Y,Y,N,N,N,N,N,257.54
Y,Y,Y,Y,Y,N,N,N,N,Y,N,246.73
Y,N,Y,N,N,N,Y,N,Y,Y,N,219.28
Y,N,Y,Y,N,Y,Y,N,N,Y,N,231.25
Y,N,Y,Y,N,N,Y,Y,Y,Y,N,227.15
Y,Y,N,Y,N,N,Y,N,N,N,N,239.98
Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,225.16
Y,N,Y,Y,N,Y,Y,N,Y,N,Y,249.25
Y,N,N,N,N,Y,Y,Y,Y,N,N,204.73
Y,Y,N,N,Y,N,Y,N,Y,N,Y,235.21
Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,254.24
Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,262.11
Y,Y,N,Y,Y,Y,N,Y,N,N,Y,252.89
