time_passes,gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,Performance,[DomFlist],DomEst,RelErr
Y,N,Y,N,Y,Y,Y,N,N,N,Y,236.43,[4N 2N 3Y ],226.6633,0.0413
Y,N,N,N,Y,Y,Y,N,Y,N,N,203.93,[4N 2N 3N 11N ],205.9150,0.0097
Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,250.60,[4N 2Y 6Y ],242.2100,0.0335
Y,N,Y,N,Y,N,Y,N,Y,N,Y,234.47,[4N 2N 3Y ],226.6633,0.0333
Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,249.41,[4N 2Y 6N ],230.8900,0.0743
Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,253.49,[4N 2Y 6N ],230.8900,0.0892
Y,Y,N,Y,N,N,Y,Y,Y,N,Y,243.81,[4Y 11Y 5N ],253.3014,0.0389
Y,N,Y,N,Y,Y,Y,Y,Y,N,N,219.77,[4N 2N 3Y ],226.6633,0.0314
Y,N,Y,N,N,Y,N,N,N,N,Y,237.10,[4N 2N 3Y ],226.6633,0.0440
Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,261.68,[4Y 11Y 5N ],253.3014,0.0320
Y,N,N,Y,N,Y,Y,N,Y,Y,Y,263.13,[4Y 11Y 5N ],253.3014,0.0374
Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,248.74,[4Y 11Y 5Y ],260.3443,0.0467
Y,N,Y,Y,N,N,Y,Y,Y,N,N,224.99,[4Y 11N 8Y ],240.0686,0.0670
Y,Y,N,N,N,N,Y,N,N,N,Y,237.13,[4N 2Y 6N ],230.8900,0.0263
Y,N,Y,N,Y,Y,Y,N,Y,N,N,220.37,[4N 2N 3Y ],226.6633,0.0286
Y,N,Y,Y,Y,N,Y,N,N,N,N,230.80,[4Y 11N 8N ],228.6438,0.0093
Y,Y,Y,N,N,N,Y,N,Y,Y,N,238.78,[4N 2Y 6N ],230.8900,0.0330
Y,Y,N,Y,N,Y,Y,N,N,Y,Y,250.44,[4Y 11Y 5N ],253.3014,0.0114
Y,N,Y,N,Y,N,N,Y,N,Y,Y,234.61,[4N 2N 3Y ],226.6633,0.0339
Y,N,N,Y,Y,Y,Y,N,N,N,N,217.47,[4Y 11N 8N ],228.6438,0.0514
Y,Y,Y,Y,N,N,Y,N,Y,Y,N,247.50,[4Y 11N 8N ],228.6438,0.0762
Y,N,N,N,Y,N,Y,N,Y,N,N,203.56,[4N 2N 3N 11N ],205.9150,0.0116
Y,Y,Y,Y,N,Y,N,N,N,N,Y,266.97,[4Y 11Y 5N ],253.3014,0.0512
Y,N,Y,N,N,N,N,Y,N,Y,N,220.40,[4N 2N 3Y ],226.6633,0.0284
Y,Y,Y,N,Y,Y,N,N,N,Y,N,239.56,[4N 2Y 6Y ],242.2100,0.0111
Y,N,N,Y,Y,N,N,N,N,Y,N,208.99,[4Y 11N 8N ],228.6438,0.0940
Y,N,Y,N,Y,Y,Y,N,N,Y,Y,236.35,[4N 2N 3Y ],226.6633,0.0410
Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,247.26,[4Y 11Y 5Y ],260.3443,0.0529
Y,N,N,Y,Y,Y,Y,N,N,Y,N,216.92,[4Y 11N 8N ],228.6438,0.0540
Y,N,N,Y,Y,Y,Y,N,Y,N,N,213.97,[4Y 11N 8N ],228.6438,0.0686
Y,Y,Y,N,N,N,Y,Y,Y,N,N,241.17,[4N 2Y 6N ],230.8900,0.0426
Y,N,Y,Y,N,N,Y,N,N,N,Y,250.16,[4Y 11Y 5N ],253.3014,0.0126
Y,Y,N,N,N,N,Y,N,Y,N,Y,235.73,[4N 2Y 6N ],230.8900,0.0205
Y,Y,N,N,Y,N,Y,Y,Y,N,Y,235.23,[4N 2Y 6N ],230.8900,0.0185
Y,N,N,N,N,N,N,N,N,N,Y,258.83,[4N 2N 3N 11Y ],217.0367,0.1615
Y,N,Y,N,N,Y,Y,N,N,Y,N,222.19,[4N 2N 3Y ],226.6633,0.0201
Y,Y,Y,N,N,Y,N,N,N,Y,Y,247.99,[4N 2Y 6Y ],242.2100,0.0233
Y,Y,Y,N,Y,N,Y,N,Y,N,Y,249.44,[4N 2Y 6N ],230.8900,0.0744
Y,Y,N,Y,Y,N,Y,Y,Y,N,N,231.91,[4Y 11N 8Y ],240.0686,0.0352
