no_asm,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref,ref_1,ref_5,ref_9,Performance
Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,Y,703.500
Y,Y,N,N,Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,291.643
Y,N,Y,Y,N,Y,Y,N,Y,Y,N,N,Y,N,Y,N,427.660
Y,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,476.900
Y,Y,Y,N,N,Y,N,N,Y,N,Y,N,Y,N,N,Y,680.557
Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,N,Y,N,429.643
Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,Y,N,N,Y,713.390
Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,Y,Y,N,N,251.573
Y,N,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,N,Y,N,564.093
Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,279.247
Y,Y,N,N,N,N,N,Y,Y,N,Y,N,Y,Y,N,N,256.667
Y,Y,N,N,N,N,N,Y,Y,N,Y,N,Y,N,N,Y,587.240
Y,N,N,Y,N,Y,N,N,Y,N,Y,N,Y,Y,N,N,305.173
Y,Y,N,N,Y,N,Y,N,Y,N,N,Y,Y,N,N,Y,617.207
Y,Y,N,N,N,Y,N,N,Y,N,Y,N,Y,N,N,Y,687.600
Y,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,299.707
Y,N,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,Y,N,N,263.373
Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,N,291.173
Y,Y,N,N,N,N,Y,N,Y,N,N,Y,Y,N,N,Y,499.270
Y,N,N,Y,N,Y,N,Y,Y,Y,N,N,Y,Y,N,N,304.997
Y,N,Y,Y,N,Y,N,Y,Y,N,Y,N,Y,Y,N,N,295.503
Y,N,Y,N,N,N,N,N,Y,N,Y,N,Y,Y,N,N,262.563
Y,Y,Y,N,N,Y,Y,N,Y,N,N,Y,Y,N,Y,N,408.683
Y,Y,N,Y,Y,N,N,N,Y,Y,N,N,Y,N,N,Y,713.673
Y,N,Y,Y,Y,N,N,N,Y,N,Y,N,Y,N,Y,N,509.273
Y,Y,Y,Y,N,N,Y,N,Y,N,Y,N,Y,Y,N,N,246.273
Y,N,N,Y,N,N,Y,Y,Y,Y,N,N,Y,N,N,Y,508.423
Y,N,N,Y,Y,N,Y,N,Y,N,Y,N,Y,N,N,Y,631.283
Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,N,Y,607.377
Y,N,N,Y,Y,N,Y,N,Y,N,N,Y,Y,N,Y,N,449.383
Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,N,Y,N,537.143
Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,665.223
Y,N,N,N,Y,Y,N,Y,Y,N,N,Y,Y,N,N,Y,817.353
Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,644.357
Y,Y,N,Y,N,Y,N,Y,Y,N,Y,N,Y,N,N,Y,690.217
Y,N,N,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,741.887
Y,N,N,N,N,N,N,Y,Y,N,Y,N,Y,N,N,Y,612.643
Y,N,Y,Y,N,N,N,Y,Y,N,N,Y,Y,Y,N,N,263.363
Y,N,N,Y,N,N,Y,N,Y,Y,N,N,Y,N,Y,N,380.147
Y,Y,N,Y,Y,N,N,Y,Y,N,Y,N,Y,N,N,Y,714.667
Y,N,N,N,Y,Y,N,N,Y,N,N,Y,Y,N,Y,N,571.510
Y,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,Y,N,444.600
Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,Y,N,Y,N,487.373
Y,N,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,576.217
Y,N,Y,Y,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,440.410
Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,671.400
Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,428.160
Y,Y,N,N,Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,652.653
