no_asm,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref,ref_1,ref_5,ref_9,Performance,[DomFlist],DomEst,RelErr
Y,N,Y,Y,N,N,N,N,Y,Y,N,N,Y,N,N,Y,605.273,[14N 15N 7N ],705.1402,0.1650
Y,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,476.310,[14N 15Y 7Y ],415.9684,0.1267
Y,Y,N,Y,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,263.853,[14Y 6N ],261.8927,0.0074
Y,Y,N,Y,N,N,Y,Y,Y,N,Y,N,Y,N,Y,N,368.630,[14N 15Y 7Y ],415.9684,0.1284
Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,N,Y,N,537.113,[14N 15Y 7N 6Y ],528.6924,0.0157
Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,N,Y,625.710,[14N 15N 7Y ],596.4018,0.0468
Y,N,N,N,N,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,580.730,[14N 15N 7Y ],596.4018,0.0270
Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,275.387,[14Y 6Y 8N ],291.1576,0.0573
Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,Y,Y,N,N,275.433,[14Y 6Y 8Y ],286.0454,0.0385
Y,Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,N,Y,493.007,[14N 15N 7Y ],596.4018,0.2097
Y,N,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,671.697,[14N 15N 7Y ],596.4018,0.1121
Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,417.633,[14N 15Y 7N 6N ],454.2271,0.0876
Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,N,N,Y,609.887,[14N 15N 7Y ],596.4018,0.0221
Y,Y,N,Y,N,N,Y,Y,Y,N,Y,N,Y,N,N,Y,496.780,[14N 15N 7Y ],596.4018,0.2005
Y,N,Y,Y,N,N,Y,N,Y,N,N,Y,Y,Y,N,N,263.403,[14Y 6N ],261.8927,0.0057
Y,N,N,Y,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,448.530,[14N 15Y 7Y ],415.9684,0.0726
Y,Y,N,N,N,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,561.960,[14N 15N 7Y ],596.4018,0.0613
Y,N,N,N,Y,N,Y,N,Y,N,Y,N,Y,Y,N,N,278.227,[14Y 6N ],261.8927,0.0587
Y,Y,N,N,N,N,Y,Y,Y,Y,N,N,Y,Y,N,N,254.707,[14Y 6N ],261.8927,0.0282
Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,476.953,[14N 15Y 7Y ],415.9684,0.1279
Y,N,N,Y,N,N,N,Y,Y,Y,N,N,Y,N,N,Y,614.570,[14N 15N 7N ],705.1402,0.1474
Y,N,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,N,Y,N,564.167,[14N 15Y 7N 6Y ],528.6924,0.0629
Y,N,N,Y,Y,N,N,N,Y,Y,N,N,Y,N,N,Y,743.163,[14N 15N 7N ],705.1402,0.0512
Y,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,Y,783.777,[14N 15N 7N ],705.1402,0.1003
Y,N,N,N,N,Y,N,Y,Y,N,Y,N,Y,N,N,Y,722.037,[14N 15N 7N ],705.1402,0.0234
Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,291.603,[14Y 6Y 8Y ],286.0454,0.0191
Y,N,N,Y,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,304.900,[14Y 6Y 8N ],291.1576,0.0451
Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,Y,729.300,[14N 15N 7N ],705.1402,0.0331
Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,279.217,[14Y 6Y 8Y ],286.0454,0.0245
Y,N,Y,N,Y,Y,Y,N,Y,N,N,Y,Y,N,N,Y,666.687,[14N 15N 7Y ],596.4018,0.1054
Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,291.150,[14Y 6Y 8Y ],286.0454,0.0175
Y,N,Y,N,Y,N,N,N,Y,N,Y,N,Y,Y,N,N,268.787,[14Y 6N ],261.8927,0.0256
Y,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,Y,665.200,[14N 15N 7Y ],596.4018,0.1034
Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,N,476.223,[14N 15Y 7Y ],415.9684,0.1265
Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,Y,N,Y,N,545.017,[14N 15Y 7N 6Y ],528.6924,0.0300
Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,Y,Y,N,N,279.790,[14Y 6Y 8N ],291.1576,0.0406
Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,783.493,[14N 15N 7N ],705.1402,0.1000
Y,N,N,N,N,Y,N,N,Y,N,N,Y,Y,N,Y,N,519.413,[14N 15Y 7N 6Y ],528.6924,0.0179
Y,N,N,N,N,Y,N,N,Y,N,Y,N,Y,Y,N,N,305.457,[14Y 6Y 8N ],291.1576,0.0468
Y,N,N,Y,N,N,N,N,Y,Y,N,N,Y,N,Y,N,444.710,[14N 15Y 7N 6N ],454.2271,0.0214
Y,N,N,N,N,Y,N,Y,Y,Y,N,N,Y,N,N,Y,721.757,[14N 15N 7N ],705.1402,0.0230
Y,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,Y,817.793,[14N 15N 7N ],705.1402,0.1378
Y,Y,Y,N,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,279.757,[14Y 6Y 8Y ],286.0454,0.0225
Y,N,Y,Y,N,Y,N,Y,Y,N,N,Y,Y,N,N,Y,715.747,[14N 15N 7N ],705.1402,0.0148
Y,N,N,N,N,N,N,N,Y,N,N,Y,Y,Y,N,N,271.967,[14Y 6N ],261.8927,0.0370
Y,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,N,Y,N,364.497,[14N 15Y 7Y ],415.9684,0.1412
Y,N,N,Y,Y,N,N,Y,Y,N,Y,N,Y,N,N,Y,744.260,[14N 15N 7N ],705.1402,0.0526
Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,310.263,[14Y 6Y 8N ],291.1576,0.0616
Y,Y,Y,N,N,Y,Y,N,Y,Y,N,N,Y,Y,N,N,275.993,[14Y 6Y 8N ],291.1576,0.0549
Y,N,Y,N,N,N,N,Y,Y,N,Y,N,Y,N,Y,N,437.933,[14N 15Y 7N 6N ],454.2271,0.0372
Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,Y,775.680,[14N 15N 7N ],705.1402,0.0909
Y,N,N,Y,N,N,Y,Y,Y,N,Y,N,Y,N,Y,N,382.010,[14N 15Y 7Y ],415.9684,0.0889
Y,N,Y,N,N,N,Y,N,Y,Y,N,N,Y,N,Y,N,378.417,[14N 15Y 7Y ],415.9684,0.0992
Y,Y,N,Y,Y,N,Y,N,Y,N,N,Y,Y,N,N,Y,615.900,[14N 15N 7Y ],596.4018,0.0317
Y,Y,N,Y,N,N,N,N,Y,N,Y,N,Y,N,N,Y,590.180,[14N 15N 7N ],705.1402,0.1948
Y,N,Y,Y,N,Y,N,N,Y,Y,N,N,Y,N,Y,N,513.233,[14N 15Y 7N 6Y ],528.6924,0.0301
Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,556.307,[14N 15N 7Y ],596.4018,0.0721
Y,N,N,Y,Y,N,Y,N,Y,Y,N,N,Y,N,N,Y,629.620,[14N 15N 7Y ],596.4018,0.0528
Y,N,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,N,266.510,[14Y 6N ],261.8927,0.0173
Y,N,N,N,N,Y,Y,N,Y,N,Y,N,Y,Y,N,N,305.503,[14Y 6Y 8N ],291.1576,0.0470
Y,Y,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,Y,N,544.580,[14N 15Y 7N 6Y ],528.6924,0.0292
Y,N,N,N,N,Y,N,N,Y,N,Y,N,Y,N,Y,N,519.583,[14N 15Y 7N 6Y ],528.6924,0.0175
Y,N,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,Y,N,N,262.277,[14Y 6N ],261.8927,0.0015
Y,Y,N,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N,423.077,[14N 15Y 7N 6N ],454.2271,0.0736
Y,Y,Y,Y,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,420.683,[14N 15Y 7N 6N ],454.2271,0.0797
Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,561.333,[14N 15N 7Y ],596.4018,0.0625
Y,Y,N,Y,Y,N,N,N,Y,Y,N,N,Y,N,N,Y,713.673,[14N 15N 7N ],705.1402,0.0120
Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,407.687,[14N 15Y 7Y ],415.9684,0.0203
Y,N,Y,N,Y,Y,N,N,Y,N,N,Y,Y,N,Y,N,562.923,[14N 15Y 7N 6Y ],528.6924,0.0608
Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,299.843,[14Y 6Y 8Y ],286.0454,0.0460
Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,N,N,Y,775.810,[14N 15N 7N ],705.1402,0.0911
Y,N,N,Y,N,N,N,Y,Y,N,N,Y,Y,Y,N,N,271.380,[14Y 6N ],261.8927,0.0350
Y,N,N,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,380.840,[14N 15Y 7Y ],415.9684,0.0922
Y,N,Y,Y,N,Y,Y,N,Y,Y,N,N,Y,Y,N,N,295.257,[14Y 6Y 8N ],291.1576,0.0139
Y,N,N,N,N,Y,Y,N,Y,N,Y,N,Y,N,N,Y,580.877,[14N 15N 7Y ],596.4018,0.0267
Y,N,N,N,Y,N,N,Y,Y,Y,N,N,Y,Y,N,N,275.920,[14Y 6N ],261.8927,0.0508
Y,N,Y,N,N,N,N,Y,Y,Y,N,N,Y,Y,N,N,260.410,[14Y 6N ],261.8927,0.0057
Y,N,Y,Y,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,295.423,[14Y 6Y 8Y ],286.0454,0.0317
Y,Y,Y,N,N,N,N,N,Y,N,N,Y,Y,N,N,Y,581.813,[14N 15N 7N ],705.1402,0.2120
Y,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,Y,N,N,247.537,[14Y 6N ],261.8927,0.0580
Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,Y,N,N,Y,683.750,[14N 15N 7N ],705.1402,0.0313
Y,N,N,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,279.097,[14Y 6N ],261.8927,0.0616
Y,N,Y,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,299.770,[14Y 6Y 8N ],291.1576,0.0287
Y,N,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,Y,821.757,[14N 15N 7N ],705.1402,0.1419
Y,Y,N,N,N,Y,N,N,Y,N,N,Y,Y,N,Y,N,492.367,[14N 15Y 7N 6Y ],528.6924,0.0738
Y,N,Y,Y,N,N,N,Y,Y,N,Y,N,Y,N,Y,N,439.260,[14N 15Y 7N 6N ],454.2271,0.0341
Y,Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,Y,N,N,247.667,[14Y 6N ],261.8927,0.0574
Y,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,439.020,[14N 15Y 7N 6N ],454.2271,0.0346
Y,N,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,435.977,[14N 15Y 7N 6N ],454.2271,0.0419
