time_passes,gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,Performance,[DomFlist],DomEst,RelErr
Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,255.62,[4Y 6Y ],257.3533,0.0068
Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,251.31,[4Y 6Y ],257.3533,0.0240
Y,Y,N,N,N,Y,Y,Y,Y,Y,N,228.34,[4N 3N 2Y ],229.2150,0.0038
Y,N,Y,N,N,N,Y,N,N,Y,N,218.97,[4N 3Y ],234.4100,0.0705
Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,249.41,[4N 3Y ],234.4100,0.0601
Y,Y,N,N,N,N,Y,Y,Y,Y,N,225.62,[4N 3N 2Y ],229.2150,0.0159
Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,251.79,[4Y 6Y ],257.3533,0.0221
Y,N,N,Y,Y,Y,Y,N,Y,Y,N,215.37,[4Y 6Y ],257.3533,0.1949
Y,Y,N,N,Y,N,Y,N,N,N,Y,238.20,[4N 3N 2Y ],229.2150,0.0377
Y,N,N,N,N,N,Y,N,N,Y,Y,214.37,[4N 3N 2N ],211.5300,0.0132
Y,N,N,Y,Y,Y,Y,N,Y,N,Y,261.43,[4Y 6Y ],257.3533,0.0156
Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,238.27,[4Y 6Y ],257.3533,0.0801
Y,N,N,N,Y,Y,Y,N,N,Y,N,206.12,[4N 3N 2N ],211.5300,0.0262
Y,N,N,Y,Y,Y,Y,Y,N,N,Y,263.43,[4Y 6Y ],257.3533,0.0231
Y,Y,N,N,N,Y,Y,N,Y,N,N,227.39,[4N 3N 2Y ],229.2150,0.0080
Y,N,Y,N,Y,Y,N,Y,N,Y,Y,233.15,[4N 3Y ],234.4100,0.0054
Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,223.52,[4Y 6Y ],257.3533,0.1514
Y,N,N,N,N,Y,Y,Y,Y,N,Y,217.65,[4N 3N 2N ],211.5300,0.0281
Y,Y,Y,Y,N,N,Y,N,N,N,N,255.47,[4Y 6N ],238.4100,0.0668
Y,N,Y,N,Y,N,Y,N,Y,Y,N,222.37,[4N 3Y ],234.4100,0.0541
Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,255.42,[4Y 6Y ],257.3533,0.0076
Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,236.58,[4N 3N 2Y ],229.2150,0.0311
Y,Y,N,N,Y,N,N,N,N,N,N,232.20,[4N 3N 2Y ],229.2150,0.0129
Y,Y,N,N,N,Y,Y,Y,N,Y,N,225.26,[4N 3N 2Y ],229.2150,0.0176
Y,Y,N,Y,Y,N,Y,N,N,Y,N,234.25,[4Y 6N ],238.4100,0.0178
Y,Y,N,Y,Y,N,Y,N,Y,N,Y,251.90,[4Y 6N ],238.4100,0.0536
Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,249.83,[4Y 6Y ],257.3533,0.0301
Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,243.44,[4N 3Y ],234.4100,0.0371
Y,N,Y,Y,N,N,Y,N,Y,Y,Y,248.20,[4Y 6N ],238.4100,0.0394
Y,N,Y,N,Y,N,Y,N,Y,Y,Y,235.37,[4N 3Y ],234.4100,0.0041
Y,N,Y,Y,N,Y,Y,Y,N,N,N,229.12,[4Y 6Y ],257.3533,0.1232
Y,N,N,Y,N,N,Y,N,N,Y,N,210.71,[4Y 6N ],238.4100,0.1315
Y,Y,N,Y,N,Y,N,N,N,Y,N,232.33,[4Y 6Y ],257.3533,0.1077
Y,Y,Y,Y,Y,N,Y,N,Y,N,N,248.89,[4Y 6N ],238.4100,0.0421
Y,Y,N,N,N,N,Y,N,Y,Y,N,226.57,[4N 3N 2Y ],229.2150,0.0117
Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,264.93,[4Y 6Y ],257.3533,0.0286
Y,Y,N,N,N,Y,Y,Y,Y,N,N,229.31,[4N 3N 2Y ],229.2150,0.0004
Y,Y,Y,N,N,N,Y,N,N,N,Y,252.84,[4N 3Y ],234.4100,0.0729
Y,N,N,N,N,N,Y,Y,Y,Y,N,205.99,[4N 3N 2N ],211.5300,0.0269
Y,N,Y,N,Y,N,Y,Y,Y,Y,N,223.42,[4N 3Y ],234.4100,0.0492
Y,Y,N,N,N,N,Y,Y,N,Y,Y,232.27,[4N 3N 2Y ],229.2150,0.0132
Y,Y,Y,Y,Y,N,N,N,N,Y,Y,260.17,[4Y 6N ],238.4100,0.0836
Y,N,Y,Y,N,Y,N,N,N,N,Y,252.27,[4Y 6Y ],257.3533,0.0202
Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,248.58,[4Y 6Y ],257.3533,0.0353
Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,249.34,[4Y 6Y ],257.3533,0.0321
Y,N,Y,N,N,Y,N,Y,N,N,N,224.18,[4N 3Y ],234.4100,0.0456
Y,Y,Y,N,Y,N,Y,N,Y,Y,N,240.22,[4N 3Y ],234.4100,0.0242
Y,N,N,Y,Y,N,Y,N,Y,N,Y,257.17,[4Y 6N ],238.4100,0.0729
Y,N,Y,N,N,N,N,Y,N,Y,N,220.40,[4N 3Y ],234.4100,0.0636
Y,Y,N,N,N,N,Y,Y,N,N,N,226.50,[4N 3N 2Y ],229.2150,0.0120
Y,Y,N,Y,N,N,Y,N,Y,N,N,236.24,[4Y 6N ],238.4100,0.0092
Y,Y,N,N,N,N,Y,Y,Y,N,N,221.33,[4N 3N 2Y ],229.2150,0.0356
Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,267.70,[4Y 6Y ],257.3533,0.0387
Y,N,Y,Y,N,Y,Y,N,N,N,N,231.39,[4Y 6Y ],257.3533,0.1122
Y,N,N,N,Y,N,Y,N,Y,Y,Y,215.99,[4N 3N 2N ],211.5300,0.0206
Y,Y,N,Y,N,Y,Y,Y,Y,N,N,237.37,[4Y 6Y ],257.3533,0.0842
Y,N,Y,N,N,Y,Y,Y,Y,N,Y,234.25,[4N 3Y ],234.4100,0.0007
Y,Y,Y,N,Y,Y,Y,N,Y,N,N,241.23,[4N 3Y ],234.4100,0.0283
Y,N,Y,Y,N,N,N,N,N,N,N,224.95,[4Y 6N ],238.4100,0.0598
Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,252.75,[4Y 6Y ],257.3533,0.0182
Y,N,N,N,N,Y,Y,N,Y,N,N,202.63,[4N 3N 2N ],211.5300,0.0439
Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,247.37,[4Y 6N ],238.4100,0.0362
Y,Y,Y,Y,N,Y,N,Y,N,N,Y,266.45,[4Y 6Y ],257.3533,0.0341
Y,N,Y,Y,Y,N,N,N,N,N,N,224.33,[4Y 6N ],238.4100,0.0628
