time_passes,gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,Performance
Y,N,N,Y,Y,N,Y,Y,N,N,Y,259.37
Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,231.69
Y,N,N,N,N,N,Y,Y,Y,Y,N,201.52
Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,260.41
Y,Y,N,Y,Y,N,Y,N,Y,Y,N,239.60
Y,N,N,N,Y,N,N,Y,N,Y,Y,217.19
Y,Y,N,Y,N,N,N,Y,N,N,Y,250.88
Y,Y,Y,Y,Y,Y,N,N,N,N,Y,251.80
Y,N,N,N,N,Y,Y,Y,N,Y,N,203.19
Y,Y,N,Y,N,Y,Y,Y,Y,N,N,237.37
Y,N,N,Y,Y,Y,N,Y,N,Y,N,211.48
Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,266.21
Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,265.42
Y,N,N,N,N,Y,Y,N,N,N,Y,217.68
Y,Y,Y,N,N,Y,Y,N,Y,Y,N,240.98
Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,218.50
Y,N,Y,Y,Y,N,Y,N,N,Y,Y,247.67
Y,N,Y,N,Y,N,Y,Y,Y,N,N,217.90
Y,N,Y,N,Y,N,Y,N,Y,N,Y,234.47
Y,Y,N,N,Y,N,N,N,N,N,N,232.20
Y,N,Y,Y,N,N,Y,N,Y,N,N,227.13
Y,Y,N,Y,Y,N,N,N,N,Y,Y,245.21
Y,N,Y,N,N,N,Y,N,Y,Y,N,222.87
Y,Y,Y,Y,N,N,Y,N,Y,N,Y,267.43
Y,N,Y,Y,Y,Y,Y,N,Y,N,N,228.97
Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,267.17
Y,Y,N,N,Y,Y,N,N,N,N,Y,255.64
Y,N,Y,N,N,N,Y,Y,Y,N,Y,235.16
Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,235.31
Y,N,N,N,N,N,Y,Y,Y,N,Y,213.53
Y,Y,Y,Y,N,N,Y,N,Y,N,N,251.58
Y,N,N,Y,N,N,Y,Y,Y,N,N,214.25
Y,Y,N,N,Y,Y,Y,N,N,Y,N,227.64
Y,N,Y,N,N,N,Y,N,Y,N,Y,233.85
Y,Y,N,N,N,N,Y,Y,Y,Y,Y,234.10
Y,N,N,Y,N,Y,N,N,N,Y,N,209.58
Y,N,Y,Y,Y,N,Y,Y,N,N,N,227.53
Y,Y,N,N,N,Y,Y,N,N,N,Y,237.89
Y,N,N,N,N,Y,N,Y,N,N,Y,219.31
Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,264.93
Y,N,N,Y,N,Y,N,Y,N,Y,N,215.10
Y,N,Y,Y,N,Y,N,Y,N,N,N,228.65
Y,Y,Y,Y,Y,N,Y,N,Y,N,N,253.15
Y,Y,N,N,N,N,N,Y,N,N,Y,236.21
Y,Y,Y,N,N,N,Y,Y,Y,N,Y,246.81
Y,N,N,Y,Y,N,Y,N,Y,N,Y,257.71
Y,Y,Y,Y,N,N,Y,N,Y,Y,N,247.50
Y,N,N,N,Y,Y,N,Y,N,Y,Y,215.18
Y,Y,N,Y,Y,Y,N,Y,N,N,N,241.90
Y,Y,N,N,Y,N,Y,Y,Y,Y,N,228.72
Y,N,N,N,Y,Y,Y,Y,Y,Y,N,207.65
Y,N,N,Y,Y,Y,N,Y,N,Y,Y,260.77
Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,249.57
Y,Y,N,Y,N,N,Y,N,N,Y,Y,246.38
Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,255.36
Y,Y,Y,N,N,Y,N,N,N,N,N,246.76
Y,N,Y,N,Y,N,Y,N,Y,N,N,219.40
Y,N,N,Y,N,N,Y,N,Y,N,N,212.94
Y,Y,N,Y,Y,Y,Y,N,Y,N,N,240.73
Y,Y,N,Y,N,N,Y,N,Y,N,Y,249.66
Y,N,Y,Y,Y,Y,N,N,N,N,N,223.77
Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,238.82
