Base,HostnameLookups,KeepAlive,EnableSendfile,FollowSymLinks,AccessLog,ExtendedStatus,InMemory,Handle,Performance,[DomFlist],DomEst,RelErr
Y,Y,N,N,Y,N,Y,N,N,930,[3N 2Y 5Y ],1020.0000,0.0968
Y,Y,Y,Y,Y,Y,N,N,N,1920,[3Y 9N ],2022.0000,0.0531
Y,N,N,N,Y,N,Y,N,N,1140,[3N 2N 7Y ],1185.0000,0.0395
Y,Y,N,Y,Y,Y,Y,Y,N,990,[3N 2Y 5Y ],1020.0000,0.0303
Y,N,N,Y,Y,N,N,N,N,1350,[3N 2N 7N ],1260.0000,0.0667
Y,N,Y,Y,N,Y,N,N,N,1980,[3Y 9N ],2022.0000,0.0212
Y,N,N,N,Y,Y,N,N,N,1020,[3N 2N 7N ],1260.0000,0.2353
Y,Y,Y,N,Y,N,Y,N,N,1890,[3Y 9N ],2022.0000,0.0698
Y,N,N,Y,Y,Y,N,Y,N,1260,[3N 2N 7N ],1260.0000,0.0000
Y,Y,Y,Y,Y,N,N,N,Y,1050,[3Y 9Y 2Y 5Y ],1180.0000,0.1238
Y,N,N,N,N,N,Y,Y,N,1290,[3N 2N 7Y ],1185.0000,0.0814
Y,N,N,Y,N,N,Y,Y,N,1320,[3N 2N 7Y ],1185.0000,0.1023
Y,Y,N,Y,N,N,N,Y,N,1110,[3N 2Y 5N ],1010.0000,0.0901
Y,Y,Y,Y,N,Y,N,Y,N,1890,[3Y 9N ],2022.0000,0.0698
Y,Y,N,Y,N,N,N,N,Y,990,[3N 2Y 5N ],1010.0000,0.0202
Y,N,N,Y,N,Y,Y,N,N,1080,[3N 2N 7Y ],1185.0000,0.0972
Y,N,N,Y,Y,Y,Y,Y,N,1230,[3N 2N 7Y ],1185.0000,0.0366
Y,N,N,Y,Y,N,N,Y,N,1470,[3N 2N 7N ],1260.0000,0.1429
Y,Y,N,Y,N,Y,Y,N,N,900,[3N 2Y 5N ],1010.0000,0.1222
Y,N,N,Y,N,Y,N,N,N,1170,[3N 2N 7N ],1260.0000,0.0769
Y,Y,N,N,Y,N,N,N,N,960,[3N 2Y 5Y ],1020.0000,0.0625
Y,Y,N,N,Y,Y,Y,N,Y,900,[3N 2Y 5Y ],1020.0000,0.1333
Y,Y,Y,Y,Y,Y,Y,N,N,1800,[3Y 9N ],2022.0000,0.1233
Y,Y,Y,Y,Y,Y,Y,N,Y,870,[3Y 9Y 2Y 5Y ],1180.0000,0.3563
Y,N,N,Y,Y,Y,Y,N,N,1110,[3N 2N 7Y ],1185.0000,0.0676
Y,Y,N,Y,Y,N,Y,N,Y,990,[3N 2Y 5Y ],1020.0000,0.0303
Y,N,Y,Y,N,N,Y,N,Y,1320,[3Y 9Y 2N ],1260.0000,0.0455
