Base,HostnameLookups,KeepAlive,EnableSendfile,FollowSymLinks,AccessLog,ExtendedStatus,InMemory,Handle,Performance,[DomFlist],DomEst,RelErr
Y,Y,N,Y,Y,Y,Y,N,N,900,[9N 8N 6Y ],1700.0000,0.8889
Y,Y,Y,Y,Y,Y,Y,N,Y,870,[9Y 5Y 6Y ],1200.0000,0.3793
Y,N,N,N,Y,Y,Y,N,N,990,[9N 8N 6Y ],1700.0000,0.7172
Y,N,Y,Y,Y,Y,Y,N,N,1890,[9N 8N 6Y ],1700.0000,0.1005
Y,N,N,Y,N,Y,Y,N,Y,1050,[9Y 5N 4Y ],1340.0000,0.2762
Y,Y,N,N,N,Y,N,N,Y,930,[9Y 5N 4N ],1170.0000,0.2581
Y,Y,N,N,N,N,N,N,N,990,[9N 8N 6N ],1968.0000,0.9879
Y,N,Y,Y,Y,Y,Y,N,Y,1170,[9Y 5Y 6Y ],1200.0000,0.0256
Y,Y,Y,N,N,Y,Y,Y,N,1860,[9N 8Y 6Y ],1987.5000,0.0685
Y,N,Y,Y,Y,N,Y,N,Y,1110,[9Y 5Y 6N ],1130.0000,0.0180
Y,Y,Y,Y,N,N,N,N,Y,1170,[9Y 5N 4Y ],1340.0000,0.1453
Y,N,Y,N,Y,N,Y,N,N,1950,[9N 8N 6N ],1968.0000,0.0092
Y,Y,Y,N,N,Y,N,Y,N,1980,[9N 8Y 6Y ],1987.5000,0.0038
Y,N,N,Y,Y,Y,N,N,N,1200,[9N 8N 6Y ],1700.0000,0.4167
Y,Y,N,Y,N,Y,Y,N,Y,870,[9Y 5N 4Y ],1340.0000,0.5402
Y,N,N,N,N,N,Y,N,N,1110,[9N 8N 6N ],1968.0000,0.7730
Y,Y,Y,Y,N,N,N,Y,N,2160,[9N 8Y 6N ],2268.0000,0.0500
Y,N,Y,Y,N,N,N,N,Y,1290,[9Y 5N 4Y ],1340.0000,0.0388
Y,Y,Y,Y,N,Y,Y,N,N,1770,[9N 8N 6Y ],1700.0000,0.0395
Y,Y,N,Y,Y,N,N,N,Y,1050,[9Y 5Y 6N ],1130.0000,0.0762
Y,Y,N,N,Y,N,N,Y,N,1140,[9N 8Y 6N ],2268.0000,0.9895
Y,N,Y,Y,N,N,Y,N,N,2130,[9N 8N 6N ],1968.0000,0.0761
Y,N,Y,Y,Y,N,N,Y,N,2640,[9N 8Y 6N ],2268.0000,0.1409
Y,Y,N,N,N,N,Y,N,N,900,[9N 8N 6N ],1968.0000,1.1867
Y,Y,N,N,Y,Y,Y,N,Y,900,[9Y 5Y 6Y ],1200.0000,0.3333
Y,N,N,Y,Y,Y,N,Y,N,1260,[9N 8Y 6Y ],1987.5000,0.5774
Y,Y,N,N,Y,N,Y,N,N,930,[9N 8N 6N ],1968.0000,1.1161
Y,N,N,N,Y,N,Y,N,Y,1200,[9Y 5Y 6N ],1130.0000,0.0583
Y,N,N,Y,Y,Y,Y,N,Y,1110,[9Y 5Y 6Y ],1200.0000,0.0811
Y,N,Y,Y,N,N,Y,Y,N,2310,[9N 8Y 6N ],2268.0000,0.0182
Y,N,Y,Y,N,Y,N,N,Y,1020,[9Y 5N 4Y ],1340.0000,0.3137
Y,N,N,Y,N,N,Y,N,Y,1140,[9Y 5N 4Y ],1340.0000,0.1754
Y,N,N,N,N,Y,Y,N,Y,1080,[9Y 5N 4N ],1170.0000,0.0833
Y,N,N,Y,Y,N,N,Y,N,1470,[9N 8Y 6N ],2268.0000,0.5429
Y,N,N,N,N,N,N,Y,N,1410,[9N 8Y 6N ],2268.0000,0.6085
Y,N,N,N,Y,Y,N,Y,N,1320,[9N 8Y 6Y ],1987.5000,0.5057
Y,N,Y,N,Y,N,Y,N,Y,1110,[9Y 5Y 6N ],1130.0000,0.0180
Y,N,N,Y,N,N,N,N,N,1320,[9N 8N 6N ],1968.0000,0.4909
Y,Y,Y,N,Y,N,N,N,Y,1320,[9Y 5Y 6N ],1130.0000,0.1439
Y,N,N,N,Y,Y,N,N,N,1020,[9N 8N 6Y ],1700.0000,0.6667
Y,Y,Y,N,N,N,Y,N,N,1830,[9N 8N 6N ],1968.0000,0.0754
Y,Y,N,Y,N,Y,Y,Y,N,960,[9N 8Y 6Y ],1987.5000,1.0703
Y,N,N,Y,Y,N,Y,N,Y,1230,[9Y 5Y 6N ],1130.0000,0.0813
Y,Y,Y,N,Y,Y,N,N,N,1770,[9N 8N 6Y ],1700.0000,0.0395
Y,Y,Y,Y,N,Y,N,Y,N,1890,[9N 8Y 6Y ],1987.5000,0.0516
Y,N,N,Y,N,N,N,Y,N,1410,[9N 8Y 6N ],2268.0000,0.6085
Y,N,Y,N,Y,Y,N,N,N,1830,[9N 8N 6Y ],1700.0000,0.0710
Y,N,Y,N,Y,N,N,N,N,2100,[9N 8N 6N ],1968.0000,0.0629
Y,N,N,N,N,Y,Y,Y,N,1140,[9N 8Y 6Y ],1987.5000,0.7434
Y,N,Y,Y,Y,N,N,N,N,2370,[9N 8N 6N ],1968.0000,0.1696
Y,Y,N,Y,Y,N,Y,N,Y,990,[9Y 5Y 6N ],1130.0000,0.1414
Y,Y,N,N,N,Y,Y,N,N,840,[9N 8N 6Y ],1700.0000,1.0238
Y,N,N,N,Y,Y,N,N,Y,1200,[9Y 5Y 6Y ],1200.0000,0.0000
Y,N,Y,N,Y,Y,N,Y,N,2190,[9N 8Y 6Y ],1987.5000,0.0925
Y,Y,Y,Y,N,Y,N,N,Y,1080,[9Y 5N 4Y ],1340.0000,0.2407
Y,Y,Y,Y,N,Y,Y,Y,N,1860,[9N 8Y 6Y ],1987.5000,0.0685
Y,N,N,N,N,Y,N,Y,N,1260,[9N 8Y 6Y ],1987.5000,0.5774
Y,Y,N,Y,Y,N,N,Y,N,1140,[9N 8Y 6N ],2268.0000,0.9895
Y,Y,N,Y,N,N,Y,N,N,960,[9N 8N 6N ],1968.0000,1.0500
Y,Y,N,N,N,Y,N,N,N,900,[9N 8N 6Y ],1700.0000,0.8889
Y,N,N,Y,Y,N,Y,Y,N,1380,[9N 8Y 6N ],2268.0000,0.6435
Y,Y,N,N,Y,Y,N,N,N,900,[9N 8N 6Y ],1700.0000,0.8889
Y,N,Y,Y,N,N,N,N,N,2220,[9N 8N 6N ],1968.0000,0.1135
Y,N,Y,Y,Y,Y,N,N,Y,1200,[9Y 5Y 6Y ],1200.0000,0.0000
Y,Y,Y,Y,Y,Y,N,Y,N,2100,[9N 8Y 6Y ],1987.5000,0.0536
Y,N,N,Y,N,N,Y,Y,N,1320,[9N 8Y 6N ],2268.0000,0.7182
Y,N,Y,N,Y,N,N,N,Y,1380,[9Y 5Y 6N ],1130.0000,0.1812
Y,N,Y,Y,N,Y,Y,Y,N,1980,[9N 8Y 6Y ],1987.5000,0.0038
Y,Y,N,Y,N,N,Y,N,Y,960,[9Y 5N 4Y ],1340.0000,0.3958
Y,Y,N,Y,Y,N,Y,N,N,990,[9N 8N 6N ],1968.0000,0.9879
Y,N,N,Y,N,Y,N,N,N,1170,[9N 8N 6Y ],1700.0000,0.4530
Y,N,Y,N,N,N,N,N,N,2040,[9N 8N 6N ],1968.0000,0.0353
Y,Y,N,N,Y,Y,Y,N,N,840,[9N 8N 6Y ],1700.0000,1.0238
Y,Y,Y,N,Y,N,Y,Y,N,2190,[9N 8Y 6N ],2268.0000,0.0356
Y,Y,Y,Y,Y,N,N,Y,N,2340,[9N 8Y 6N ],2268.0000,0.0308
Y,N,Y,Y,N,Y,N,Y,N,2100,[9N 8Y 6Y ],1987.5000,0.0536
Y,N,N,N,N,Y,Y,N,N,1020,[9N 8N 6Y ],1700.0000,0.6667
Y,N,Y,N,N,N,N,Y,N,2490,[9N 8Y 6N ],2268.0000,0.0892
Y,Y,Y,Y,Y,N,Y,N,N,2070,[9N 8N 6N ],1968.0000,0.0493
Y,N,N,Y,Y,N,N,N,N,1350,[9N 8N 6N ],1968.0000,0.4578
Y,N,Y,N,N,N,N,N,Y,1200,[9Y 5N 4N ],1170.0000,0.0250
Y,Y,N,N,N,N,Y,N,Y,960,[9Y 5N 4N ],1170.0000,0.2188
Y,N,Y,Y,Y,N,Y,Y,N,2430,[9N 8Y 6N ],2268.0000,0.0667
Y,Y,N,N,Y,Y,Y,Y,N,960,[9N 8Y 6Y ],1987.5000,1.0703
Y,Y,N,N,Y,N,Y,Y,N,1050,[9N 8Y 6N ],2268.0000,1.1600
Y,N,N,Y,Y,N,N,N,Y,1200,[9Y 5Y 6N ],1130.0000,0.0583
Y,N,Y,Y,N,N,N,Y,N,2460,[9N 8Y 6N ],2268.0000,0.0780
Y,Y,Y,N,N,N,Y,Y,N,2160,[9N 8Y 6N ],2268.0000,0.0500
Y,N,N,N,Y,N,N,N,N,1200,[9N 8N 6N ],1968.0000,0.6400
Y,N,N,Y,Y,Y,N,N,Y,1140,[9Y 5Y 6Y ],1200.0000,0.0526
Y,Y,Y,Y,Y,Y,N,N,N,1920,[9N 8N 6Y ],1700.0000,0.1146
Y,N,Y,N,N,Y,Y,N,Y,1260,[9Y 5N 4N ],1170.0000,0.0714
Y,Y,N,N,Y,N,Y,N,Y,960,[9Y 5Y 6N ],1130.0000,0.1771
Y,N,N,N,Y,N,Y,Y,N,1380,[9N 8Y 6N ],2268.0000,0.6435
Y,N,Y,Y,Y,N,Y,N,N,2190,[9N 8N 6N ],1968.0000,0.1014
Y,N,N,N,N,N,N,N,N,1200,[9N 8N 6N ],1968.0000,0.6400
Y,Y,Y,N,Y,Y,N,Y,N,2070,[9N 8Y 6Y ],1987.5000,0.0399
Y,N,Y,N,N,Y,N,N,Y,1230,[9Y 5N 4N ],1170.0000,0.0488
Y,N,N,Y,Y,N,Y,N,N,1170,[9N 8N 6N ],1968.0000,0.6821
Y,Y,N,Y,N,Y,N,N,N,930,[9N 8N 6Y ],1700.0000,0.8280
Y,Y,Y,Y,N,N,Y,N,Y,1170,[9Y 5N 4Y ],1340.0000,0.1453
Y,N,N,Y,N,N,N,N,Y,1200,[9Y 5N 4Y ],1340.0000,0.1167
Y,Y,Y,Y,Y,Y,Y,Y,N,1860,[9N 8Y 6Y ],1987.5000,0.0685
Y,N,Y,Y,Y,Y,Y,Y,N,2070,[9N 8Y 6Y ],1987.5000,0.0399
Y,Y,Y,N,Y,N,N,Y,N,2280,[9N 8Y 6N ],2268.0000,0.0053
Y,Y,Y,Y,Y,N,N,N,Y,1050,[9Y 5Y 6N ],1130.0000,0.0762
Y,Y,Y,N,N,Y,Y,N,N,1620,[9N 8N 6Y ],1700.0000,0.0494
Y,Y,Y,N,N,Y,N,N,N,1710,[9N 8N 6Y ],1700.0000,0.0058
Y,Y,N,N,N,Y,Y,N,Y,870,[9Y 5N 4N ],1170.0000,0.3448
Y,N,N,N,N,Y,N,N,Y,1050,[9Y 5N 4N ],1170.0000,0.1143
Y,N,Y,N,Y,N,N,Y,N,2400,[9N 8Y 6N ],2268.0000,0.0550
Y,Y,N,Y,N,Y,Y,N,N,900,[9N 8N 6Y ],1700.0000,0.8889
Y,N,N,Y,N,N,Y,N,N,1230,[9N 8N 6N ],1968.0000,0.6000
Y,Y,N,N,N,Y,N,Y,N,1020,[9N 8Y 6Y ],1987.5000,0.9485
Y,Y,N,Y,Y,Y,N,N,N,960,[9N 8N 6Y ],1700.0000,0.7708
Y,Y,Y,N,Y,Y,Y,Y,N,1920,[9N 8Y 6Y ],1987.5000,0.0352
Y,N,Y,N,Y,N,Y,Y,N,2430,[9N 8Y 6N ],2268.0000,0.0667
Y,Y,N,N,Y,N,N,N,N,960,[9N 8N 6N ],1968.0000,1.0500
Y,Y,Y,N,Y,Y,Y,N,Y,1500,[9Y 5Y 6Y ],1200.0000,0.2000
Y,N,N,N,Y,N,Y,N,N,1140,[9N 8N 6N ],1968.0000,0.7263
Y,N,N,N,N,N,Y,Y,N,1290,[9N 8Y 6N ],2268.0000,0.7581
Y,Y,N,N,N,N,Y,Y,N,1020,[9N 8Y 6N ],2268.0000,1.2235
Y,Y,Y,Y,Y,N,Y,Y,N,2190,[9N 8Y 6N ],2268.0000,0.0356
Y,N,Y,N,N,Y,Y,N,N,1680,[9N 8N 6Y ],1700.0000,0.0119
Y,N,N,Y,N,Y,N,Y,N,1260,[9N 8Y 6Y ],1987.5000,0.5774
Y,Y,N,Y,N,N,Y,Y,N,1020,[9N 8Y 6N ],2268.0000,1.2235
Y,Y,N,Y,Y,N,N,N,N,1080,[9N 8N 6N ],1968.0000,0.8222
Y,N,Y,Y,Y,N,N,N,Y,1200,[9Y 5Y 6N ],1130.0000,0.0583
Y,Y,N,N,Y,N,N,N,Y,1020,[9Y 5Y 6N ],1130.0000,0.1078
Y,Y,N,N,N,N,N,Y,N,1110,[9N 8Y 6N ],2268.0000,1.0432
Y,N,N,N,Y,N,N,Y,N,1410,[9N 8Y 6N ],2268.0000,0.6085
Y,N,N,N,Y,Y,Y,Y,N,1230,[9N 8Y 6Y ],1987.5000,0.6159
Y,Y,Y,Y,N,N,Y,N,N,2010,[9N 8N 6N ],1968.0000,0.0209
Y,N,Y,N,N,N,Y,N,Y,1350,[9Y 5N 4N ],1170.0000,0.1333
Y,N,N,N,N,N,N,N,Y,1230,[9Y 5N 4N ],1170.0000,0.0488
Y,N,N,Y,N,Y,N,N,Y,1110,[9Y 5N 4Y ],1340.0000,0.2072
Y,N,N,Y,Y,Y,Y,N,N,1110,[9N 8N 6Y ],1700.0000,0.5315
Y,Y,Y,Y,N,Y,N,N,N,1890,[9N 8N 6Y ],1700.0000,0.1005
Y,Y,Y,Y,N,N,N,N,N,2130,[9N 8N 6N ],1968.0000,0.0761
Y,N,Y,Y,N,N,Y,N,Y,1320,[9Y 5N 4Y ],1340.0000,0.0152
Y,Y,N,Y,Y,N,Y,Y,N,1080,[9N 8Y 6N ],2268.0000,1.1000
Y,Y,Y,Y,Y,N,Y,N,Y,1200,[9Y 5Y 6N ],1130.0000,0.0583
Y,Y,Y,Y,N,N,Y,Y,N,2160,[9N 8Y 6N ],2268.0000,0.0500
Y,Y,N,Y,Y,Y,Y,Y,N,990,[9N 8Y 6Y ],1987.5000,1.0076
Y,Y,Y,N,N,N,N,Y,N,2280,[9N 8Y 6N ],2268.0000,0.0053
Y,Y,Y,N,N,N,Y,N,Y,1020,[9Y 5N 4N ],1170.0000,0.1471
Y,Y,Y,Y,N,Y,Y,N,Y,1470,[9Y 5N 4Y ],1340.0000,0.0884
Y,Y,N,N,Y,Y,N,Y,N,1020,[9N 8Y 6Y ],1987.5000,0.9485
Y,Y,N,Y,N,N,N,N,N,1050,[9N 8N 6N ],1968.0000,0.8743
Y,Y,Y,Y,Y,Y,Y,N,N,1800,[9N 8N 6Y ],1700.0000,0.0556
Y,N,N,N,Y,N,N,N,Y,1260,[9Y 5Y 6N ],1130.0000,0.1032
Y,N,Y,N,N,Y,N,N,N,1770,[9N 8N 6Y ],1700.0000,0.0395
Y,Y,Y,N,N,N,N,N,Y,1140,[9Y 5N 4N ],1170.0000,0.0263
Y,Y,N,Y,Y,Y,Y,N,Y,870,[9Y 5Y 6Y ],1200.0000,0.3793
Y,N,Y,Y,N,Y,N,N,N,1980,[9N 8N 6Y ],1700.0000,0.1414
Y,Y,Y,N,Y,N,N,N,N,1950,[9N 8N 6N ],1968.0000,0.0092
Y,N,Y,N,Y,Y,Y,Y,N,2100,[9N 8Y 6Y ],1987.5000,0.0536
Y,Y,N,Y,N,N,N,N,Y,990,[9Y 5N 4Y ],1340.0000,0.3535
Y,Y,Y,N,N,Y,N,N,Y,1200,[9Y 5N 4N ],1170.0000,0.0250
Y,Y,N,Y,Y,Y,N,N,Y,930,[9Y 5Y 6Y ],1200.0000,0.2903
Y,Y,N,N,N,Y,Y,Y,N,930,[9N 8Y 6Y ],1987.5000,1.1371
Y,Y,N,Y,N,Y,N,N,Y,930,[9Y 5N 4Y ],1340.0000,0.4409
Y,N,Y,N,Y,Y,Y,N,N,1740,[9N 8N 6Y ],1700.0000,0.0230
