HAVE_CRYPTO,HAVE_HASH,HAVE_REPLICATION,HAVE_VERIFY,HAVE_SEQUENCE,HAVE_STATISTICS,DIAGNOSTIC,PAGESIZE,PS1K,PS4K,PS8K,PS16K,PS32K,CACHESIZE,CS32MB,CS16MB,CS64MB,CS512MB,Performance
Y,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,N,Y,Y,N,N,N,21.2034
Y,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,21.2693
Y,Y,Y,Y,N,N,Y,Y,N,N,N,Y,N,Y,Y,N,N,N,21.2654
Y,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,N,Y,N,N,Y,N,21.2309
Y,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,N,Y,N,Y,N,N,21.1766
Y,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,N,Y,N,N,Y,N,21.1748
Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,21.1879
Y,Y,Y,Y,N,N,Y,Y,N,N,N,Y,N,Y,N,N,Y,N,21.2230
Y,Y,Y,Y,N,Y,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,21.2147
Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,Y,N,N,21.1746
Y,Y,Y,Y,N,N,Y,Y,N,N,N,Y,N,Y,N,N,N,Y,21.2343
Y,Y,Y,Y,Y,N,Y,Y,N,N,N,Y,N,Y,Y,N,N,N,21.2325
