time_passes,gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,Performance
Y,Y,N,N,N,N,Y,N,Y,N,Y,235.73
Y,Y,Y,Y,N,Y,N,N,N,N,Y,266.97
Y,N,Y,Y,N,N,Y,N,N,N,Y,250.16
Y,Y,Y,Y,N,N,Y,N,N,N,Y,267.85
Y,Y,Y,N,N,Y,Y,N,N,N,N,246.48
Y,Y,Y,N,Y,N,Y,N,N,N,N,244.49
Y,Y,N,N,N,N,Y,N,N,N,Y,237.13
Y,N,N,Y,Y,Y,Y,N,Y,N,N,213.41
Y,Y,Y,N,N,N,Y,N,Y,N,Y,249.99
Y,N,N,Y,Y,Y,Y,N,N,N,N,217.47
Y,N,N,Y,Y,N,Y,N,N,N,N,214.34
Y,N,N,N,N,N,Y,N,Y,N,N,203.64
Y,Y,N,Y,N,N,Y,N,Y,N,Y,252.13
Y,N,N,N,N,Y,N,N,N,N,N,206.90
Y,Y,Y,Y,Y,Y,Y,N,N,N,N,244.25
Y,Y,Y,Y,Y,N,Y,N,N,N,N,254.34
Y,Y,N,N,Y,Y,Y,N,Y,N,N,227.91
Y,Y,N,N,N,Y,Y,N,Y,N,N,224.34
Y,N,Y,N,Y,N,Y,N,Y,N,Y,232.47
Y,Y,Y,N,N,N,Y,N,Y,N,N,240.16
Y,Y,N,Y,N,Y,N,N,N,N,Y,252.21
Y,N,N,N,Y,N,N,N,N,N,N,208.47
Y,Y,Y,N,Y,N,Y,N,Y,N,Y,249.44
Y,N,N,Y,Y,N,Y,N,Y,N,N,211.59
Y,N,N,Y,N,Y,N,N,N,N,N,218.15
Y,N,Y,N,N,N,Y,N,N,N,N,222.43
Y,N,N,Y,N,Y,Y,N,Y,N,N,211.74
Y,N,N,N,N,N,Y,N,Y,N,N,201.15
Y,N,Y,N,N,Y,N,N,N,N,Y,237.10
Y,N,N,Y,N,N,Y,N,Y,N,N,212.94
Y,N,N,N,Y,Y,N,N,N,N,N,205.95
Y,Y,Y,Y,N,N,Y,N,Y,N,Y,267.43
Y,N,N,Y,N,Y,Y,N,Y,N,Y,258.16
Y,N,N,Y,Y,Y,Y,N,Y,N,Y,261.43
Y,N,Y,Y,Y,N,Y,N,N,N,N,230.80
Y,Y,N,Y,Y,Y,Y,N,N,N,Y,240.43
Y,N,Y,N,N,Y,Y,N,Y,N,Y,232.64
Y,Y,N,Y,N,N,Y,N,Y,N,Y,249.66
Y,Y,Y,Y,N,Y,Y,N,N,N,N,255.23
Y,N,Y,Y,Y,N,Y,N,Y,N,Y,248.19
Y,Y,Y,N,N,Y,Y,N,Y,N,N,245.20
Y,N,Y,N,Y,Y,Y,N,N,N,N,232.66
Y,N,N,Y,N,N,Y,N,Y,N,N,209.70
Y,Y,N,N,Y,N,Y,N,Y,N,Y,236.98
Y,N,N,N,N,Y,Y,N,Y,N,N,202.63
Y,Y,N,Y,Y,N,Y,N,Y,N,N,237.50
Y,Y,N,N,Y,Y,N,N,N,N,N,229.86
Y,N,N,Y,Y,N,Y,N,Y,N,N,211.27
Y,N,N,N,Y,N,Y,N,Y,N,Y,215.85
Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,265.42
Y,N,N,Y,N,N,Y,N,N,N,N,214.72
Y,N,N,Y,Y,Y,N,N,N,N,Y,264.51
Y,Y,N,Y,Y,N,Y,N,N,N,N,240.83
Y,N,Y,N,N,Y,Y,N,Y,N,Y,233.00
Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,252.28
Y,N,Y,Y,N,Y,Y,N,N,N,Y,250.24
Y,N,Y,Y,Y,N,N,N,N,N,Y,269.52
Y,Y,N,N,N,Y,Y,N,N,N,Y,237.89
Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,262.22
Y,N,Y,Y,Y,Y,N,N,N,N,N,223.77
Y,N,Y,N,N,N,Y,N,Y,N,Y,232.00
Y,Y,Y,Y,Y,N,N,N,N,N,N,243.78
