time_passes,gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,Performance,[DomFlist],DomEst,RelErr
Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,249.83,[2N 11Y ],230.1427,0.0788
Y,N,N,Y,N,Y,Y,N,Y,N,Y,258.16,[2N 11Y ],230.1427,0.1085
Y,N,N,Y,N,N,Y,Y,Y,N,N,208.37,[2N 11N 4Y ],212.4500,0.0196
Y,Y,N,N,Y,N,Y,Y,Y,N,Y,231.44,[2Y 10N ],243.1330,0.0505
Y,N,N,Y,Y,N,Y,N,Y,N,N,211.27,[2N 11N 4Y ],212.4500,0.0056
Y,N,N,N,Y,Y,Y,N,Y,Y,Y,218.40,[2N 11Y ],230.1427,0.0538
Y,Y,N,Y,N,Y,Y,N,Y,N,N,234.65,[2Y 10N ],243.1330,0.0362
Y,N,N,N,N,N,Y,Y,N,Y,Y,215.29,[2N 11Y ],230.1427,0.0690
Y,N,N,Y,N,N,Y,Y,Y,Y,N,215.88,[2N 11N 4Y ],212.4500,0.0159
Y,N,N,N,Y,Y,Y,Y,N,N,Y,216.91,[2N 11Y ],230.1427,0.0610
Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,261.57,[2Y 10Y 4Y ],238.8000,0.0871
Y,N,Y,N,N,Y,Y,N,Y,N,N,219.33,[2N 11N 4N ],204.7243,0.0666
Y,Y,N,N,N,N,Y,N,Y,Y,Y,235.12,[2Y 10Y 4N ],225.9250,0.0391
Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,229.68,[2N 11N 4Y ],212.4500,0.0750
Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,251.98,[2Y 10Y 4N ],225.9250,0.1034
Y,N,N,Y,N,Y,N,N,N,Y,Y,256.60,[2N 11Y ],230.1427,0.1031
Y,Y,N,Y,N,N,Y,N,Y,N,Y,249.66,[2Y 10N ],243.1330,0.0261
Y,N,Y,N,Y,N,Y,Y,N,N,Y,237.41,[2N 11Y ],230.1427,0.0306
Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,254.26,[2Y 10Y 4Y ],238.8000,0.0608
Y,Y,Y,Y,Y,Y,N,Y,N,N,N,254.89,[2Y 10N ],243.1330,0.0461
Y,N,Y,Y,Y,Y,N,N,N,N,Y,269.38,[2N 11Y ],230.1427,0.1457
Y,Y,Y,N,Y,Y,Y,N,Y,N,N,241.23,[2Y 10N ],243.1330,0.0079
Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,267.32,[2Y 10Y 4Y ],238.8000,0.1067
Y,Y,N,N,N,N,Y,Y,Y,N,Y,234.53,[2Y 10N ],243.1330,0.0367
Y,Y,N,N,N,Y,N,Y,N,Y,N,223.21,[2Y 10Y 4N ],225.9250,0.0122
Y,Y,N,N,Y,N,Y,N,N,N,Y,238.20,[2Y 10N ],243.1330,0.0207
Y,Y,N,Y,N,Y,Y,N,Y,Y,N,240.99,[2Y 10Y 4Y ],238.8000,0.0091
Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,266.93,[2Y 10N ],243.1330,0.0892
Y,N,N,Y,N,Y,Y,N,N,N,Y,265.69,[2N 11Y ],230.1427,0.1338
Y,Y,N,N,Y,N,Y,N,Y,Y,N,224.53,[2Y 10Y 4N ],225.9250,0.0062
Y,N,Y,N,Y,N,N,Y,N,Y,N,220.86,[2N 11N 4N ],204.7243,0.0731
Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,260.33,[2Y 10Y 4Y ],238.8000,0.0827
Y,N,N,Y,Y,Y,Y,N,N,N,Y,266.27,[2N 11Y ],230.1427,0.1357
Y,Y,N,N,Y,N,Y,Y,Y,N,Y,235.23,[2Y 10N ],243.1330,0.0336
Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,238.27,[2Y 10N ],243.1330,0.0204
Y,N,N,Y,Y,Y,Y,N,Y,N,Y,259.69,[2N 11Y ],230.1427,0.1138
Y,N,N,Y,N,Y,Y,Y,N,N,Y,267.17,[2N 11Y ],230.1427,0.1386
Y,Y,Y,N,N,N,Y,Y,Y,Y,N,245.16,[2Y 10Y 4N ],225.9250,0.0785
Y,Y,N,Y,N,N,Y,Y,Y,Y,N,235.92,[2Y 10Y 4Y ],238.8000,0.0122
Y,Y,Y,N,Y,Y,N,N,N,N,Y,254.73,[2Y 10N ],243.1330,0.0455
Y,Y,Y,N,Y,N,N,N,N,Y,N,238.97,[2Y 10Y 4N ],225.9250,0.0546
