time_passes,gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,Performance,[DomFlist],DomEst,RelErr
Y,Y,N,N,Y,Y,N,N,N,Y,N,223.13,[3N 11N ],242.7643,0.0880
Y,Y,N,Y,Y,N,Y,Y,N,N,N,240.62,[3N 11N ],242.7643,0.0089
Y,N,Y,N,Y,N,Y,N,Y,N,N,221.62,[3Y 11N 10N ],247.8900,0.1185
Y,Y,N,N,Y,Y,Y,Y,Y,N,N,227.12,[3N 11N ],242.7643,0.0689
Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,232.64,[3N 11Y 10N ],242.7250,0.0434
Y,N,N,Y,N,Y,Y,N,Y,N,N,214.38,[3N 11N ],242.7643,0.1324
Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,250.28,[3Y 11Y 10N ],258.1467,0.0314
Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,266.54,[3N 11Y 10Y ],248.6983,0.0669
Y,N,N,Y,N,N,Y,N,N,N,N,214.72,[3N 11N ],242.7643,0.1306
Y,N,N,N,Y,Y,Y,N,Y,Y,N,205.47,[3N 11N ],242.7643,0.1815
Y,N,Y,Y,N,Y,Y,N,Y,Y,N,230.47,[3Y 11N 10Y ],250.9750,0.0890
Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,253.54,[3N 11Y 10Y ],248.6983,0.0191
Y,Y,Y,Y,Y,Y,N,N,N,N,N,243.28,[3Y 11N 10N ],247.8900,0.0189
Y,Y,Y,N,N,Y,Y,N,Y,N,Y,251.93,[3Y 11Y 10N ],258.1467,0.0247
Y,Y,N,N,Y,N,N,Y,N,Y,N,225.69,[3N 11N ],242.7643,0.0757
Y,N,Y,N,N,Y,N,N,N,Y,N,217.70,[3Y 11N 10Y ],250.9750,0.1528
Y,N,N,Y,Y,Y,Y,N,N,N,Y,266.27,[3N 11Y 10N ],242.7250,0.0884
Y,Y,Y,N,N,N,N,N,N,Y,Y,246.33,[3Y 11Y 10Y ],262.2367,0.0646
Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,262.68,[3Y 11Y 10N ],258.1467,0.0173
Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,262.95,[3Y 11Y 10Y ],262.2367,0.0027
