no_asm,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref,ref_1,ref_5,ref_9,Performance
Y,N,N,Y,Y,N,Y,N,Y,Y,N,N,Y,N,Y,N,446.680
Y,N,N,N,N,Y,Y,N,Y,Y,N,N,Y,N,N,Y,580.737
Y,N,Y,N,N,N,Y,N,Y,Y,N,N,Y,N,Y,N,378.417
Y,Y,N,Y,N,Y,N,Y,Y,Y,N,N,Y,N,N,Y,690.463
Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,Y,N,Y,N,362.037
Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,279.267
Y,N,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,310.217
Y,Y,N,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,291.660
Y,Y,N,N,Y,N,Y,Y,Y,Y,N,N,Y,N,Y,N,432.030
Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,Y,N,416.263
Y,N,N,Y,Y,Y,N,N,Y,Y,N,N,Y,N,Y,N,573.653
Y,Y,Y,N,Y,N,Y,N,Y,Y,N,N,Y,N,Y,N,426.527
Y,N,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,N,N,260.380
Y,N,Y,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,N,259.807
Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,N,244.280
Y,N,Y,N,N,Y,N,Y,Y,Y,N,N,Y,Y,N,N,295.590
Y,Y,N,N,N,Y,Y,N,Y,Y,N,N,Y,N,N,Y,561.927
Y,N,Y,N,Y,Y,N,N,Y,Y,N,N,Y,Y,N,N,299.660
Y,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,N,Y,N,425.063
Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,N,N,275.373
Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,455.493
Y,N,Y,Y,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,295.367
Y,N,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,N,Y,506.880
Y,Y,Y,Y,Y,N,N,N,Y,Y,N,N,Y,Y,N,N,249.363
Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,Y,N,N,Y,555.580
Y,N,N,Y,Y,Y,N,N,Y,Y,N,N,Y,N,N,Y,821.520
Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,N,N,Y,581.243
Y,N,N,N,N,Y,N,Y,Y,Y,N,N,Y,N,Y,N,519.027
Y,Y,N,N,N,Y,N,Y,Y,Y,N,N,Y,Y,N,N,287.060
Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,408.627
Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,Y,N,N,Y,495.723
Y,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,Y,611.043
Y,N,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,378.283
Y,Y,N,N,N,N,Y,N,Y,Y,N,N,Y,N,N,Y,496.893
Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,Y,N,N,244.353
Y,N,N,N,N,N,Y,N,Y,Y,N,N,Y,N,N,Y,510.010
Y,N,N,N,N,N,N,Y,Y,Y,N,N,Y,N,N,Y,610.823
Y,N,Y,Y,N,N,N,N,Y,Y,N,N,Y,N,Y,N,437.920
Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,377.503
Y,N,N,N,N,N,N,Y,Y,Y,N,N,Y,Y,N,N,268.557
Y,N,Y,Y,N,Y,Y,N,Y,Y,N,N,Y,N,N,Y,575.863
Y,N,Y,Y,N,Y,N,N,Y,Y,N,N,Y,N,Y,N,513.233
Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,651.203
Y,N,Y,N,N,N,N,N,Y,Y,N,N,Y,N,N,Y,602.713
Y,N,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,432.723
Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,556.327
Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,Y,Y,N,N,244.277
Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,295.410
Y,N,Y,Y,Y,N,Y,N,Y,Y,N,N,Y,N,N,Y,625.797
Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,643.960
Y,Y,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,Y,780.930
Y,Y,N,Y,Y,N,N,N,Y,Y,N,N,Y,N,N,Y,713.673
Y,N,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,N,268.017
Y,N,N,N,N,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,433.267
Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,N,266.273
Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,Y,N,N,Y,581.407
Y,Y,N,N,N,Y,N,N,Y,Y,N,N,Y,N,Y,N,492.623
Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,299.637
