no_asm,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref,ref_1,ref_5,ref_9,Performance
Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,N,279.157
Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,275.460
Y,Y,N,Y,N,N,Y,N,Y,N,Y,N,Y,Y,N,N,256.340
Y,Y,N,Y,N,N,N,Y,Y,N,N,Y,Y,Y,N,N,257.450
Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,Y,Y,N,N,249.440
Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,279.193
Y,Y,N,Y,Y,N,N,N,Y,N,Y,N,Y,Y,N,N,262.793
Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,N,249.410
Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,N,244.280
Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,252.827
Y,Y,Y,Y,N,Y,N,N,Y,N,Y,N,Y,Y,N,N,275.560
Y,Y,N,Y,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,263.910
Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,Y,N,N,251.530
Y,Y,N,Y,N,Y,N,N,Y,Y,N,N,Y,Y,N,N,286.287
Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,291.237
Y,Y,N,Y,N,Y,Y,N,Y,N,N,Y,Y,Y,N,N,286.470
Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,Y,Y,N,N,275.433
Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,Y,N,N,251.587
Y,Y,Y,Y,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,275.427
Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,N,N,260.617
Y,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,N,254.177
Y,Y,N,Y,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,263.853
Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,N,260.550
Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,N,252.630
Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,291.277
Y,Y,N,Y,Y,N,N,Y,Y,N,Y,N,Y,Y,N,N,262.610
Y,Y,N,Y,N,Y,N,N,Y,N,Y,N,Y,Y,N,N,286.427
Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,291.150
Y,Y,N,Y,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,286.327
Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,Y,Y,N,N,251.573
Y,Y,N,Y,Y,N,N,N,Y,Y,N,N,Y,Y,N,N,260.497
Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,286.440
Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,279.267
Y,Y,N,Y,N,N,Y,Y,Y,N,N,Y,Y,Y,N,N,257.530
Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,286.337
Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,279.130
Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,Y,N,N,244.353
Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,290.917
Y,Y,N,Y,N,Y,N,Y,Y,N,Y,N,Y,Y,N,N,286.400
Y,Y,N,Y,N,N,N,Y,Y,Y,N,N,Y,Y,N,N,254.033
Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,N,251.637
Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,N,262.510
Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,N,N,249.463
Y,Y,Y,Y,N,N,Y,N,Y,N,Y,N,Y,Y,N,N,246.273
Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,N,244.230
Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,N,263.920
Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,279.150
Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,Y,Y,N,N,291.010
Y,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,252.737
Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,Y,N,N,279.150
Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,252.780
Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,279.247
Y,Y,Y,Y,N,N,N,Y,Y,N,N,Y,Y,Y,N,N,247.517
Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,291.210
Y,Y,N,Y,N,N,Y,N,Y,N,N,Y,Y,Y,N,N,257.407
Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N,Y,Y,N,N,244.277
Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,279.153
Y,Y,Y,Y,Y,N,N,N,Y,Y,N,N,Y,Y,N,N,249.363
