no_asm,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref,ref_1,ref_5,ref_9,Performance
Y,Y,Y,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,244.390
Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,N,260.550
Y,Y,N,N,Y,Y,N,Y,Y,N,Y,N,Y,N,N,Y,780.757
Y,Y,Y,N,N,N,Y,N,Y,N,Y,N,Y,Y,N,N,246.543
Y,Y,N,Y,Y,N,Y,N,Y,Y,N,N,Y,N,N,Y,613.763
Y,Y,Y,Y,N,Y,N,N,Y,N,Y,N,Y,N,N,Y,683.763
Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y,Y,N,N,246.410
Y,N,N,N,Y,N,Y,N,Y,Y,N,N,Y,N,N,Y,631.043
Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,299.843
Y,N,Y,N,N,Y,Y,N,Y,N,Y,N,Y,Y,N,N,295.680
Y,N,Y,N,N,Y,N,Y,Y,N,Y,N,Y,N,N,Y,712.637
Y,N,N,N,N,N,N,Y,Y,N,Y,N,Y,N,Y,N,444.333
Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,291.610
Y,N,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,N,Y,N,379.400
Y,Y,N,N,N,Y,N,N,Y,N,N,Y,Y,N,N,Y,687.473
Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,Y,N,Y,N,421.113
Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,N,Y,N,Y,N,486.827
Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,N,Y,Y,N,N,275.453
Y,N,N,Y,N,N,Y,Y,Y,N,Y,N,Y,N,N,Y,510.017
Y,N,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,310.753
Y,Y,N,Y,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,263.910
Y,Y,N,N,N,Y,N,Y,Y,N,N,Y,Y,N,Y,N,492.360
Y,N,Y,Y,N,Y,N,Y,Y,Y,N,N,Y,N,N,Y,715.923
Y,Y,N,N,Y,N,N,N,Y,N,Y,N,Y,N,N,Y,712.540
Y,N,Y,N,Y,N,N,Y,Y,N,N,Y,Y,N,Y,N,508.547
Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,Y,N,N,Y,555.580
Y,N,Y,N,Y,N,N,N,Y,N,Y,N,Y,N,N,Y,731.353
Y,Y,N,Y,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,433.000
Y,Y,N,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,780.657
Y,N,Y,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N,436.117
Y,Y,N,Y,N,N,N,Y,Y,N,N,Y,Y,Y,N,N,257.450
Y,N,N,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,310.673
