no_asm,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref,ref_1,ref_5,ref_9,Performance,[DomFlist],DomEst,RelErr
Y,Y,N,N,Y,N,Y,Y,Y,N,N,Y,Y,N,N,Y,616.970,[14N 15N 7Y ],553.1762,0.1034
Y,Y,N,N,N,N,Y,N,Y,N,N,Y,Y,Y,N,N,258.113,[14Y 6N ],264.7869,0.0259
Y,N,Y,Y,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,295.353,[14Y 6Y ],291.3130,0.0137
Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,N,251.860,[14Y 6N ],264.7869,0.0513
Y,Y,Y,Y,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,275.427,[14Y 6Y ],291.3130,0.0577
Y,Y,N,N,N,Y,N,Y,Y,Y,N,N,Y,N,N,Y,687.093,[14N 15N 7N ],713.2376,0.0381
Y,N,Y,N,N,Y,Y,N,Y,N,Y,N,Y,Y,N,N,295.680,[14Y 6Y ],291.3130,0.0148
Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,377.503,[14N 15Y 7Y ],446.0000,0.1814
Y,N,N,Y,N,Y,N,N,Y,N,Y,N,Y,N,Y,N,521.843,[14N 15Y 7N ],504.5009,0.0332
Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,N,275.957,[14Y 6N ],264.7869,0.0405
Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,Y,N,N,275.523,[14Y 6Y ],291.3130,0.0573
Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,299.703,[14Y 6Y ],291.3130,0.0280
Y,Y,Y,N,N,Y,N,Y,Y,N,N,Y,Y,N,Y,N,485.437,[14N 15Y 7N ],504.5009,0.0393
Y,Y,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,N,Y,783.517,[14N 15N 7N ],713.2376,0.0897
Y,N,N,N,Y,Y,N,N,Y,N,Y,N,Y,N,Y,N,571.397,[14N 15Y 7N ],504.5009,0.1171
Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,N,N,259.840,[14Y 6N ],264.7869,0.0190
Y,N,Y,Y,N,Y,N,Y,Y,Y,N,N,Y,N,Y,N,512.870,[14N 15Y 7N ],504.5009,0.0163
Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,N,Y,N,429.643,[14N 15Y 7Y ],446.0000,0.0381
